q_id,web_list
1,"[1721, 1705, 1704, 372, 108]"
2,"[277, 1800, 1067, 861, 1092]"
3,"[1704, 1705, 1721, 344, 379]"
4,"[1705, 1704, 395, 1753, 1297]"
5,"[1029, 1705, 1704, 165, 1040]"
6,"[1704, 1705, 108, 1915, 362]"
7,"[1704, 1705, 1570, 481, 1826]"
8,"[1705, 1704, 1677, 374, 1674]"
9,"[1753, 1040, 938, 1705, 1704]"
10,"[1704, 1705, 1761, 1760, 1762]"
11,"[1243, 836, 277, 81, 1705]"
12,"[1705, 1704, 1760, 1758, 1726]"
13,"[1705, 1704, 1030, 1066, 1040]"
14,"[1157, 1127, 699, 1705, 1704]"
15,"[7, 11, 618, 1057, 1748]"
16,"[979, 985, 984, 983, 982]"
17,"[1705, 1704, 773, 374, 1067]"
18,"[1705, 1704, 374, 361, 981]"
19,"[1091, 341, 1704, 1705, 1066]"
20,"[1704, 1705, 89, 848, 759]"
21,"[1704, 1705, 1758, 1762, 1761]"
22,"[1705, 1704, 1760, 1762, 1758]"
23,"[1705, 1704, 1030, 1029, 211]"
24,"[1570, 29, 1877, 1015, 1759]"
25,"[1705, 1704, 1907, 1270, 175]"
26,"[277, 24, 272, 1243, 1092]"
27,"[1704, 1705, 341, 1297, 992]"
28,"[878, 342, 289, 98, 1176]"
29,"[1758, 688, 818, 698, 1567]"
30,"[1705, 1704, 1762, 1760, 1761]"
31,"[938, 165, 1030, 935, 1054]"
32,"[1705, 1704, 365, 344, 618]"
33,"[1704, 1705, 1761, 1760, 1762]"
34,"[1705, 1704, 1677, 904, 1640]"
35,"[374, 699, 1068, 1705, 1704]"
36,"[1705, 1704, 1796, 1001, 992]"
37,"[440, 836, 277, 1116, 81]"
38,"[374, 377, 1125, 395, 1131]"
39,"[1704, 1705, 1762, 1760, 1758]"
40,"[361, 1133, 377, 395, 1029]"
41,"[836, 1015, 81, 575, 564]"
42,"[1704, 1705, 1800, 1780, 1803]"
43,"[1776, 1757, 1753, 1764, 1761]"
44,"[334, 1704, 1705, 1776, 1757]"
45,"[1172, 1179, 1728, 1183, 1063]"
46,"[918, 1049, 1037, 1030, 1025]"
47,"[1705, 1704, 1067, 321, 1907]"
48,"[1705, 1704, 1067, 440, 379]"
49,"[1704, 1705, 1758, 1762, 1760]"
50,"[1705, 1704, 1041, 1029, 211]"
51,"[374, 1704, 1705, 334, 340]"
52,"[1748, 303, 868, 97, 1148]"
53,"[1721, 1705, 1704, 372, 108]"
54,"[1705, 165, 1704, 1025, 937]"
55,"[374, 1704, 1705, 334, 340]"
56,"[1705, 1704, 1762, 291, 1064]"
57,"[374, 1137, 783, 1160, 819]"
58,"[1704, 341, 1705, 773, 1068]"
59,"[1705, 1704, 1721, 1785, 1015]"
60,"[1123, 1881, 1132, 1880, 1066]"
61,"[374, 1125, 341, 334, 362]"
62,"[1705, 1704, 761, 1495, 108]"
63,"[1071, 1705, 1704, 1748, 365]"
64,"[1774, 1705, 1704, 1746, 409]"
65,"[250, 726, 1011, 257, 727]"
66,"[1704, 1705, 1777, 1765, 395]"
67,"[1738, 762, 801, 780, 1160]"
68,"[1073, 770, 669, 762, 627]"
69,"[1753, 1202, 410, 165, 1014]"
70,"[1705, 1704, 1896, 1567, 1907]"
71,"[1064, 1907, 175, 1905, 163]"
72,"[1176, 342, 700, 1152, 1142]"
73,"[1753, 1776, 1757, 1015, 1764]"
74,"[1705, 1704, 1066, 1030, 1040]"
75,"[1705, 1704, 1760, 1064, 1761]"
76,"[1705, 1704, 1041, 165, 1025]"
77,"[211, 985, 984, 983, 982]"
78,"[1705, 1704, 1761, 1760, 1758]"
79,"[1705, 1704, 1029, 165, 1041]"
80,"[1705, 1704, 1066, 1907, 1916]"
81,"[1116, 277, 1297, 1881, 1800]"
82,"[1704, 1705, 1068, 1752, 773]"
83,"[1137, 1125, 1001, 1135, 395]"
84,"[1704, 1705, 468, 1557, 426]"
85,"[1704, 1705, 1068, 175, 430]"
86,"[1057, 836, 11, 1058, 575]"
87,"[1297, 277, 1116, 618, 1567]"
88,"[1795, 291, 698, 1761, 1760]"
89,"[818, 1705, 1704, 1091, 1092]"
90,"[1704, 1705, 1759, 1557, 108]"
91,"[89, 175, 163, 1068, 866]"
92,"[1705, 1704, 1910, 106, 1907]"
